id_jugador,id_club
10,27
10,398
63,15
63,27
63,631
65,15
65,148
65,162
65,931
65,985
77,15
77,27
77,46
77,506
77,1023
89,15
89,27
89,210
89,221
89,418
89,1023
132,11
132,16
201,27
201,281
201,985
213,27
213,162
215,27
215,150
215,281
215,3711
337,18
337,27
528,16
528,27
528,11141
597,11
597,82
597,131
953,82
953,210
953,244
953,449
953,614
1081,58
1081,1082
1397,31
1397,418
1397,762
1397,985
1599,12
1599,15
1599,614
2219,27
2514,27
2514,985
2865,11
2865,398
2865,506
2865,1082
2904,131
2904,162
2904,276
2904,623
2963,13
2963,27
2963,209
2963,281
2963,714
2989,27
2989,199
2989,614
2995,18
2995,36
2995,131
2995,294
3091,379
3091,610
3091,720
3091,940
3109,31
3109,1061
3111,418
3111,506
3118,379
3118,762
3134,11
3134,371
3134,379
3139,5
3139,418
3139,583
3139,985
3139,1061
3140,5
3140,46
3140,131
3140,199
3140,383
3140,418
3143,46
3143,398
3143,631
3143,985
3144,31
3144,46
3144,148
3144,371
3144,379
3144,399
3144,405
3144,543
3144,1061
3156,11
3156,148
3156,244
3156,631
3160,405
3160,631
3160,703
3163,281
3163,379
3163,631
3163,40058
3182,11
3182,12
3182,631
3182,873
3182,1061
3183,5
3183,11
3183,46
3183,281
3183,506
3185,11
3185,244
3185,405
3185,1050
3198,11
3198,148
3198,762
3202,11
3202,31
3202,281
3202,371
3205,11
3205,148
3205,379
3207,11
3207,131
3207,162
3207,506
3207,623
3216,31
3216,141
3216,405
3216,1041
3220,12
3220,31
3220,162
3220,931
3224,148
3224,399
3224,418
3224,762
3226,11
3226,31
3226,36
3226,281
3226,418
3226,506
3226,583
3226,631
3235,379
3235,399
3235,985
3235,989
3241,31
3241,141
3241,399
3247,124
3247,399
3247,405
3259,631
3259,762
3259,931
3291,29
3291,281
3291,405
3332,29
3332,985
3333,31
3333,281
3333,399
3333,405
3333,762
3333,1237
3366,5
3366,418
3373,5
3373,131
3373,210
3373,583
3373,614
3373,2462
3396,371
3396,703
3396,985
3397,985
3406,985
3407,383
3407,418
3407,985
3408,13
3408,46
3408,985
3408,1050
3410,5
3410,46
3410,209
3410,398
3410,631
3411,209
3411,294
3411,1049
3428,46
3428,398
3446,46
3446,131
3446,336
3446,418
3455,5
3455,46
3455,131
3455,506
3455,583
3455,610
3455,985
3455,1061
3461,148
3461,405
3461,703
3461,762
3467,281
3467,623
3467,631
3522,5
3522,631
3532,5
3532,410
3532,6195
3547,985
3597,31
3603,398
3603,506
3626,294
3626,430
3626,1075
3647,379
3647,430
3700,148
3700,368
3700,379
3700,1041
3755,189
3755,3709
3755,4035
3755,69261
3785,148
3785,379
3785,631
3785,762
3785,931
3802,148
3829,148
3829,543
3854,131
3854,189
3854,1050
3875,124
3875,148
3875,379
3875,989
3875,11141
3876,31
3876,379
3876,405
3876,631
3876,1082
3878,148
3878,379
3878,985
3881,31
3881,379
3881,631
3924,141
3924,244
3924,631
3954,336
3954,368
3954,714
3966,31
3966,244
3966,265
3966,398
3979,418
3979,720
3994,27
3994,234
4010,31
4010,36
4010,234
4015,29
4015,148
4015,398
4015,762
4015,931
4015,985
4063,31
4063,379
4063,405
4067,405
4146,162
4146,209
4146,506
4168,5
4168,46
4168,418
4168,610
4169,5
4169,234
4169,762
4169,1050
4170,162
4170,276
4170,398
4170,506
4170,1025
4170,1049
4171,5
4171,398
4182,244
4182,418
4182,583
4182,631
4182,940
4182,995
4188,46
4188,131
4188,336
4188,631
4188,720
4192,148
4192,150
4192,418
4192,610
4241,29
4241,281
4241,405
4241,543
4248,13
4248,36
4248,82
4248,221
4248,506
4248,614
4248,720
4257,29
4257,46
4257,131
4257,237
4257,418
4257,631
4257,714
4276,189
4276,199
4276,281
4276,379
4276,506
4276,985
4289,506
4360,27
4360,383
4360,418
4360,631
4380,11
4380,36
4380,234
4380,985
4672,5
4672,141
4672,281
4672,610
4672,1061
5023,506
5023,583
5059,18
5059,24
5283,131
5283,162
5283,683
5283,1041
5283,1082
5285,162
5285,244
5285,379
5285,417
5285,506
5285,985
5293,11
5293,162
5293,368
5293,1041
5357,265
5357,1041
5404,131
5404,336
5404,1049
5422,5
5422,12
5485,379
5485,826
5485,931
5486,12
5486,131
5486,244
5486,368
5486,826
5486,1049
5513,162
5513,995
5513,1041
5516,244
5516,995
5516,2282
5544,417
5544,995
5544,1082
5555,12
5555,244
5555,336
5555,418
5555,583
5555,985
5588,5
5588,265
5588,418
5588,631
5588,1041
5658,11
5658,273
5658,631
5698,273
5757,5
5757,131
5757,506
5757,1047
5762,276
5762,506
5762,3711
5775,46
5775,418
5775,506
5775,6195
5794,46
5794,82
5794,762
5794,3368
5796,46
5796,416
5797,5
5797,13
5797,46
5797,162
5797,398
5797,416
5797,430
5797,506
5797,800
5800,5
5800,199
5800,210
5813,5
5813,124
5817,5
5817,46
5817,506
5817,40058
5825,5
5825,12
5825,379
5825,506
5825,800
5876,12
5876,46
5876,199
5876,430
5876,614
5896,12
5896,46
5896,281
5896,410
5896,430
5904,410
5904,506
5922,12
5922,506
5938,12
5938,46
5938,189
5938,418
5947,12
5947,189
5957,5
5957,12
5957,31
5957,336
5957,430
5957,506
5958,12
5974,276
5974,398
5974,1025
5974,6195
6031,410
6074,416
6074,430
6087,410
6087,416
6087,430
6097,294
6097,430
6097,506
6119,31
6119,430
6119,506
6119,583
6119,1049
6119,3368
6234,416
6234,430
6234,506
6234,6195
6237,15
6288,27
6288,82
6288,430
6448,12
6448,506
6569,681
6569,1050
6631,244
6631,583
6710,11
6917,449
7161,15
7161,16
7161,18
7349,418
7358,13
7358,209
7373,31
7373,141
7373,237
7373,281
7373,410
7373,683
7373,714
7449,11
7449,281
7451,11
7451,29
7451,124
7451,583
7451,681
7476,27
7476,31
7476,418
7476,681
7501,13
7501,237
7506,237
7506,610
7506,762
7518,36
7518,46
7518,199
7518,418
7518,1023
7520,46
7520,209
7520,418
7520,683
7530,418
7531,31
7531,162
7531,244
7531,418
7531,1049
7580,131
7580,237
7580,714
7580,1049
7589,131
7589,985
7594,131
7600,131
7602,13
7602,46
7602,131
7602,583
7607,131
